"NOMOGRAM_ID","SHADOW_PRC","HE_INT"
"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1",88.99,"10-4"
"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1",6.5,"10-4"
"30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _2",57.31,"10-4"
"30055_GATES1  _500_30900_GATES   _230_XF_11_P",61.48,"10-4"
"30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1",29.12,"10-4"
"31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11",42.39,"10-4"
"33951_VLYHMTP1_115_33516_RIPON J _115_BR_1 _1",113.79,"10-4"
"34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1",95.97,"10-4"
"34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1",139.91,"10-4"
"34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1",0.29,"10-4"
"34882_SAN EMDO_70.0_34904_OLD RIVR_70.0_BR_1 _1",59.11,"10-4"
"7430_KTTLM_GATES_70_1",-120.31,"10-4"
"7450_CUYAMS_TAFT_70_1",-33.55,"10-4"
"7690-INYOKN_VOLTAGE_EX_NG",-935.78,"10-4"
